Ensembl_ID	Symbol	chrom	chromStart	chromEnd	ClassType
ENSG00000181409.10	AATK	chr17	81117295	81166077	protein_coding
ENSG00000183044.10	ABAT	chr16	8674565	8784575	protein_coding
ENSG00000165029.14	ABCA1	chr9	104781002	104928237	protein_coding
ENSG00000154263.16	ABCA10	chr17	69147214	69244846	protein_coding
ENSG00000144452.13	ABCA12	chr2	214931542	215138428	protein_coding
ENSG00000179869.13	ABCA13	chr7	48171458	48647496	protein_coding
ENSG00000107331.15	ABCA2	chr9	137007227	137028922	protein_coding
ENSG00000167972.12	ABCA3	chr16	2275881	2340746	protein_coding
ENSG00000198691.10	ABCA4	chr1	93992835	94121132	protein_coding
ENSG00000154265.14	ABCA5	chr17	69244311	69327244	protein_coding
ENSG00000154262.11	ABCA6	chr17	69078702	69141888	protein_coding
ENSG00000064687.11	ABCA7	chr19	1040101	1065572	protein_coding
ENSG00000141338.12	ABCA8	chr17	68867292	68955392	protein_coding
ENSG00000154258.15	ABCA9	chr17	68974488	69061064	protein_coding
ENSG00000085563.13	ABCB1	chr7	87503633	87713323	protein_coding
ENSG00000135776.4	ABCB10	chr1	229516582	229558695	protein_coding
ENSG00000073734.8	ABCB11	chr2	168922938	169031322	protein_coding
ENSG00000005471.14	ABCB4	chr7	87401697	87480435	protein_coding
ENSG00000004846.15	ABCB5	chr7	20615207	20777038	protein_coding
ENSG00000115657.11	ABCB6	chr2	219209768	219218990	protein_coding
ENSG00000131269.14	ABCB7	chrX	75053172	75156732	protein_coding
ENSG00000197150.11	ABCB8	chr7	151028422	151047782	protein_coding
ENSG00000150967.16	ABCB9	chr12	122920951	122981649	protein_coding
ENSG00000103222.17	ABCC1	chr16	15949577	16143074	protein_coding
ENSG00000124574.13	ABCC10	chr6	43427366	43450430	protein_coding
ENSG00000121270.14	ABCC11	chr16	48166910	48247568	protein_coding
ENSG00000140798.14	ABCC12	chr16	48082973	48156018	protein_coding
ENSG00000023839.9	ABCC2	chr10	99782732	99852192	protein_coding
ENSG00000108846.14	ABCC3	chr17	50634777	50692252	protein_coding
ENSG00000125257.12	ABCC4	chr13	95019829	95301446	protein_coding
ENSG00000114770.15	ABCC5	chr3	183919934	184018015	protein_coding
ENSG00000091262.13	ABCC6	chr16	16148928	16223522	protein_coding
ENSG00000006071.10	ABCC8	chr11	17392885	17476845	protein_coding
ENSG00000069431.9	ABCC9	chr12	21797401	21941402	protein_coding
ENSG00000101986.11	ABCD1	chrX	153724868	153744762	protein_coding
ENSG00000173208.3	ABCD2	chr12	39550033	39619751	protein_coding
ENSG00000117528.10	ABCD3	chr1	94418455	94518666	protein_coding
ENSG00000119688.19	ABCD4	chr14	74285423	74303056	protein_coding
ENSG00000164163.9	ABCE1	chr4	145097932	145129179	protein_coding
ENSG00000204574.11	ABCF1	chr6	30571376	30597179	protein_coding
ENSG00000033050.6	ABCF2	chr7	151207837	151227230	protein_coding
ENSG00000161204.10	ABCF3	chr3	184186023	184194012	protein_coding
ENSG00000160179.17	ABCG1	chr21	42199689	42297244	protein_coding
ENSG00000118777.9	ABCG2	chr4	88090264	88231322	protein_coding
ENSG00000172350.8	ABCG4	chr11	119149012	119162653	protein_coding
ENSG00000138075.10	ABCG5	chr2	43812472	43838865	protein_coding
ENSG00000143921.6	ABCG8	chr2	43838964	43878466	protein_coding
ENSG00000143994.12	ABHD1	chr2	27123789	27130812	protein_coding
ENSG00000144827.7	ABHD10	chr3	111979010	111993363	protein_coding
ENSG00000106077.17	ABHD11	chr7	73736094	73738867	protein_coding
ENSG00000100997.17	ABHD12	chr20	25294743	25390983	protein_coding
ENSG00000131969.13	ABHD12B	chr14	50872160	50904970	protein_coding
ENSG00000139826.5	ABHD13	chr13	108218379	108234255	protein_coding
ENSG00000248487.7	ABHD14A	chr3	51971426	51981199	protein_coding
ENSG00000114786.14	ABHD14A-ACY1	chr3	51975050	51989183	protein_coding
ENSG00000114779.18	ABHD14B	chr3	51968510	51983409	protein_coding
ENSG00000168792.4	ABHD15	chr17	29560547	29567137	protein_coding
ENSG00000204427.10	ABHD16A	chr6	31686949	31703444	protein_coding
ENSG00000183260.6	ABHD16B	chr20	63861213	63863306	protein_coding
ENSG00000129968.14	ABHD17A	chr19	1876810	1885547	protein_coding
ENSG00000107362.12	ABHD17B	chr9	71862452	71910931	protein_coding
ENSG00000136379.10	ABHD17C	chr15	80679684	80755621	protein_coding
ENSG00000140526.15	ABHD2	chr15	89087459	89202360	protein_coding
ENSG00000158201.8	ABHD3	chr18	21650897	21704805	protein_coding
ENSG00000100439.9	ABHD4	chr14	22598237	22613215	protein_coding
ENSG00000011198.6	ABHD5	chr3	43690113	43734371	protein_coding
ENSG00000163686.12	ABHD6	chr3	58237506	58295693	protein_coding
ENSG00000127220.5	ABHD8	chr19	17292131	17310236	protein_coding
ENSG00000136754.15	ABI1	chr10	26746593	26861087	protein_coding
ENSG00000138443.14	ABI2	chr2	203328219	203447723	protein_coding
ENSG00000108798.7	ABI3	chr17	49210227	49223225	protein_coding
ENSG00000154175.15	ABI3BP	chr3	100749156	100993515	protein_coding
ENSG00000097007.16	ABL1	chr9	130713946	130887675	protein_coding
ENSG00000143322.18	ABL2	chr1	179099327	179229684	protein_coding
ENSG00000099204.17	ABLIM1	chr10	114431113	114685003	protein_coding
ENSG00000163995.17	ABLIM2	chr4	7965310	8158832	protein_coding
ENSG00000173210.18	ABLIM3	chr5	149141483	149260542	protein_coding
ENSG00000175164.12	ABO	chr9	133250401	133275214	protein_coding
ENSG00000159842.13	ABR	chr17	1003518	1229021	protein_coding
ENSG00000174429.3	ABRA	chr8	106759483	106770245	protein_coding
ENSG00000146386.7	ABRACL	chr6	139028682	139043302	protein_coding
ENSG00000146109.4	ABT1	chr6	26596952	26600744	protein_coding
ENSG00000114626.16	ABTB1	chr3	127672935	127680920	protein_coding
ENSG00000166016.5	ABTB2	chr11	34150988	34358008	protein_coding
ENSG00000260869.1	AC002310.13	chr16	30534227	30558279	protein_coding
ENSG00000188223.9	AC002398.9	chr19	35745678	35754519	protein_coding
ENSG00000268133.1	AC003002.4	chr19	57363566	57398584	protein_coding
ENSG00000269026.2	AC003006.7	chr19	57682045	57753575	protein_coding
ENSG00000228768.1	AC003101.1	chr17	31571142	31575659	protein_coding
ENSG00000268533.1	AC004076.7	chr19	57394183	57438457	protein_coding
ENSG00000268163.1	AC004076.9	chr19	57437970	57477536	protein_coding
ENSG00000269881.1	AC004754.3	chr16	249547	269943	protein_coding
ENSG00000267545.1	AC005779.2	chr19	45179822	45202444	protein_coding
ENSG00000266958.1	AC006126.3	chr19	45187388	45216933	protein_coding
ENSG00000268643.1	AC006486.9	chr19	42234583	42255132	protein_coding
ENSG00000267001.1	AC006538.4	chr19	2717769	2740048	protein_coding
ENSG00000223874.1	AC007557.1	chr2	216870772	216871639	protein_coding
ENSG00000269095.1	AC010646.3	chr19	17235940	17255448	protein_coding
ENSG00000267881.1	AC011513.3	chr19	41708612	41761282	protein_coding
ENSG00000184761.7	AC013269.5	chr2	130539095	130549883	protein_coding
ENSG00000258052.1	AC025263.3	chr12	69801669	69855363	protein_coding
ENSG00000222020.2	AC062017.1	chr2	239401436	239402364	protein_coding
ENSG00000249240.2	AC069368.3	chr15	64841883	64930920	protein_coding
ENSG00000267022.1	AC084219.2	chr19	44025354	44087318	protein_coding
ENSG00000261866.1	AC092566.1	chr19	8676844	8677068	protein_coding
ENSG00000220256.3	AC093802.1	chr2	239762860	239802883	protein_coding
ENSG00000267314.1	AC104532.2	chr19	5904841	5914707	protein_coding
ENSG00000233438.1	AC109829.1	chr2	27537386	27567144	protein_coding
ENSG00000226490.1	AC138647.1	chr8	141514638	141518737	protein_coding
ENSG00000060971.16	ACAA1	chr3	38103129	38137242	protein_coding
ENSG00000167315.16	ACAA2	chr18	49782167	49813960	protein_coding
ENSG00000278540.3	ACACA	chr17	37084988	37406818	protein_coding
ENSG00000076555.14	ACACB	chr12	109116595	109268226	protein_coding
ENSG00000111271.13	ACAD10	chr12	111686056	111757107	protein_coding
ENSG00000240303.6	ACAD11	chr3	132558138	132660723	protein_coding
ENSG00000151498.10	ACAD8	chr11	134253495	134265855	protein_coding
ENSG00000177646.16	ACAD9	chr3	128879596	128916067	protein_coding
ENSG00000115361.6	ACADL	chr2	210187939	210225491	protein_coding
ENSG00000117054.12	ACADM	chr1	75724347	75787575	protein_coding
ENSG00000122971.7	ACADS	chr12	120725735	120740008	protein_coding
ENSG00000196177.11	ACADSB	chr10	123008979	123058311	protein_coding
ENSG00000072778.18	ACADVL	chr17	7217125	7225273	protein_coding
ENSG00000157766.14	ACAN	chr15	88803443	88875354	protein_coding
ENSG00000072818.10	ACAP1	chr17	7336529	7351478	protein_coding
ENSG00000114331.11	ACAP2	chr3	195274736	195443078	protein_coding
ENSG00000131584.17	ACAP3	chr1	1292376	1309609	protein_coding
ENSG00000075239.12	ACAT1	chr11	108121516	108147776	protein_coding
ENSG00000120437.8	ACAT2	chr6	159760328	159779055	protein_coding
ENSG00000182827.8	ACBD3	chr1	226144679	226186730	protein_coding
ENSG00000181513.13	ACBD4	chr17	45132600	45144181	protein_coding
ENSG00000107897.17	ACBD5	chr10	27195214	27242130	protein_coding
ENSG00000176244.6	ACBD7	chr10	15077523	15088776	protein_coding
ENSG00000110455.12	ACCS	chr11	44065925	44084222	protein_coding
ENSG00000205126.2	ACCSL	chr11	44047981	44059977	protein_coding
ENSG00000102977.12	ACD	chr16	67657512	67660815	protein_coding
ENSG00000159640.13	ACE	chr17	63477061	63498380	protein_coding
ENSG00000130234.9	ACE2	chrX	15561033	15602148	protein_coding
ENSG00000167769.4	ACER1	chr19	6306142	6333629	protein_coding
ENSG00000177076.5	ACER2	chr9	19409059	19452020	protein_coding
ENSG00000078124.10	ACER3	chr11	76860867	77026797	protein_coding
ENSG00000087085.12	ACHE	chr7	100889994	100896974	protein_coding
ENSG00000100813.13	ACIN1	chr14	23058564	23095614	protein_coding
ENSG00000213088.8	ACKR1	chr1	159203307	159206500	protein_coding
ENSG00000144648.13	ACKR2	chr3	42804752	42887974	protein_coding
ENSG00000144476.5	ACKR3	chr2	236567787	236582358	protein_coding
ENSG00000129048.6	ACKR4	chr3	132597237	132618967	protein_coding
ENSG00000131473.15	ACLY	chr17	41866908	41930542	protein_coding
ENSG00000153086.12	ACMSD	chr2	134838547	134902034	protein_coding
ENSG00000196636.7	ACN9	chr7	97116590	97181763	protein_coding
ENSG00000122729.17	ACO1	chr9	32384603	32454769	protein_coding
ENSG00000100412.14	ACO2	chr22	41469125	41528989	protein_coding
ENSG00000184227.6	ACOT1	chr14	73537114	73543794	protein_coding
ENSG00000162390.16	ACOT11	chr1	54542257	54639192	protein_coding
ENSG00000172497.7	ACOT12	chr5	81330005	81394179	protein_coding
ENSG00000112304.9	ACOT13	chr6	24667035	24705065	protein_coding
ENSG00000119673.13	ACOT2	chr14	73567620	73575658	protein_coding
ENSG00000177465.4	ACOT4	chr14	73591706	73596496	protein_coding
ENSG00000205669.2	ACOT6	chr14	73610945	73619888	protein_coding
ENSG00000097021.18	ACOT7	chr1	6264269	6394391	protein_coding
ENSG00000101473.15	ACOT8	chr20	45841721	45857406	protein_coding
ENSG00000123130.15	ACOT9	chrX	23702253	23766475	protein_coding
ENSG00000161533.10	ACOX1	chr17	75941507	75979363	protein_coding
ENSG00000168306.11	ACOX2	chr3	58505136	58537319	protein_coding
ENSG00000087008.14	ACOX3	chr4	8366282	8440723	protein_coding
ENSG00000153093.17	ACOXL	chr2	110732573	111118222	protein_coding
ENSG00000143727.14	ACP1	chr2	264140	278283	protein_coding
ENSG00000102575.9	ACP5	chr19	11574660	11579008	protein_coding
ENSG00000162836.10	ACP6	chr1	147629652	147670496	protein_coding
ENSG00000014257.14	ACPP	chr3	132317367	132368298	protein_coding
ENSG00000142513.5	ACPT	chr19	50790415	50795224	protein_coding
ENSG00000100312.9	ACR	chr22	50738196	50745334	protein_coding
ENSG00000111644.6	ACRBP	chr12	6638075	6647460	protein_coding
ENSG00000147174.10	ACRC	chrX	71578411	71613583	protein_coding
ENSG00000134940.12	ACRV1	chr11	125671522	125681123	protein_coding
ENSG00000103740.8	ACSBG1	chr15	78167468	78245688	protein_coding
ENSG00000130377.12	ACSBG2	chr19	6135247	6193094	protein_coding
ENSG00000167107.11	ACSF2	chr17	50426158	50474845	protein_coding
ENSG00000176715.14	ACSF3	chr16	89088375	89155846	protein_coding
ENSG00000151726.12	ACSL1	chr4	184755595	184826818	protein_coding
ENSG00000123983.12	ACSL3	chr2	222860934	222944639	protein_coding
ENSG00000068366.18	ACSL4	chrX	109624244	109733403	protein_coding
ENSG00000197142.9	ACSL5	chr10	112374018	112428380	protein_coding
ENSG00000164398.11	ACSL6	chr5	131806990	132012243	protein_coding
ENSG00000166743.8	ACSM1	chr16	20623237	20698890	protein_coding
ENSG00000183747.10	ACSM2A	chr16	20451461	20487667	protein_coding
ENSG00000066813.13	ACSM2B	chr16	20536226	20576427	protein_coding
ENSG00000005187.10	ACSM3	chr16	20610243	20797581	protein_coding
ENSG00000215009.5	ACSM4	chr12	7304284	7328724	protein_coding
ENSG00000183549.9	ACSM5	chr16	20409534	20441336	protein_coding
ENSG00000173124.13	ACSM6	chr10	95194200	95228928	protein_coding
ENSG00000154930.13	ACSS1	chr20	25006230	25058980	protein_coding
ENSG00000131069.18	ACSS2	chr20	34872146	34927962	protein_coding
ENSG00000111058.6	ACSS3	chr12	80936414	81261205	protein_coding
ENSG00000143632.13	ACTA1	chr1	229431245	229434098	protein_coding
ENSG00000107796.11	ACTA2	chr10	88935074	88991390	protein_coding
ENSG00000075624.12	ACTB	chr7	5527151	5563784	protein_coding
ENSG00000169067.3	ACTBL2	chr5	57480016	57482809	protein_coding
ENSG00000159251.6	ACTC1	chr15	34788096	34796139	protein_coding
ENSG00000184009.8	ACTG1	chr17	81509971	81523847	protein_coding
ENSG00000163017.12	ACTG2	chr2	73892314	73919865	protein_coding
ENSG00000182584.4	ACTL10	chr20	33666498	33668525	protein_coding
ENSG00000136518.15	ACTL6A	chr3	179562880	179588408	protein_coding
ENSG00000077080.8	ACTL6B	chr7	100643097	100656461	protein_coding
ENSG00000187003.6	ACTL7A	chr9	108862266	108863759	protein_coding
ENSG00000148156.7	ACTL7B	chr9	108854589	108856967	protein_coding
ENSG00000117148.7	ACTL8	chr1	17755313	17827063	protein_coding
ENSG00000181786.4	ACTL9	chr19	8697397	8698822	protein_coding
ENSG00000072110.12	ACTN1	chr14	68874143	68979440	protein_coding
ENSG00000077522.11	ACTN2	chr1	236686454	236764631	protein_coding
ENSG00000248746.4	ACTN3	chr11	66546395	66563329	protein_coding
ENSG00000130402.10	ACTN4	chr19	38647649	38731583	protein_coding
ENSG00000131966.12	ACTR10	chr14	58200080	58235636	protein_coding
ENSG00000138107.10	ACTR1A	chr10	102479229	102502711	protein_coding
ENSG00000115073.7	ACTR1B	chr2	97655963	97664107	protein_coding
ENSG00000138071.12	ACTR2	chr2	65227753	65271253	protein_coding
ENSG00000115091.10	ACTR3	chr2	113889960	113962596	protein_coding
ENSG00000133627.16	ACTR3B	chr7	152759749	152855378	protein_coding
ENSG00000106526.9	ACTR3C	chr7	150243916	150323725	protein_coding
ENSG00000101442.9	ACTR5	chr20	38748442	38772520	protein_coding
ENSG00000075089.8	ACTR6	chr12	100199122	100241865	protein_coding
ENSG00000113812.12	ACTR8	chr3	53867066	53882202	protein_coding
ENSG00000123165.8	ACTRT1	chrX	128050962	128052398	protein_coding
ENSG00000169717.6	ACTRT2	chr1	3021483	3022903	protein_coding
ENSG00000184378.2	ACTRT3	chr3	169766921	169769895	protein_coding
ENSG00000115170.12	ACVR1	chr2	157736444	157875862	protein_coding
ENSG00000135503.11	ACVR1B	chr12	51951667	51997078	protein_coding
ENSG00000123612.14	ACVR1C	chr2	157526767	157629005	protein_coding
ENSG00000121989.13	ACVR2A	chr2	147844517	147930826	protein_coding
ENSG00000114739.12	ACVR2B	chr3	38453851	38493142	protein_coding
ENSG00000139567.11	ACVRL1	chr12	51906908	51923361	protein_coding
ENSG00000243989.6	ACY1	chr3	51983340	51989197	protein_coding
ENSG00000132744.6	ACY3	chr11	67642555	67650659	protein_coding
ENSG00000119640.7	ACYP1	chr14	75053221	75069483	protein_coding
ENSG00000170634.11	ACYP2	chr2	53970838	54305300	protein_coding
ENSG00000267120.3	AD000671.6	chr19	35739252	35745432	protein_coding
ENSG00000196839.11	ADA	chr20	44619522	44652233	protein_coding
ENSG00000164113.9	ADAD1	chr4	122378966	122429802	protein_coding
ENSG00000140955.9	ADAD2	chr16	84191138	84197168	protein_coding
ENSG00000168803.13	ADAL	chr15	43330674	43354555	protein_coding
ENSG00000137845.13	ADAM10	chr15	58588807	58749978	protein_coding
ENSG00000073670.12	ADAM11	chr17	44759031	44781846	protein_coding
ENSG00000148848.13	ADAM12	chr10	126012381	126388455	protein_coding
ENSG00000143537.12	ADAM15	chr1	155050566	155062775	protein_coding
ENSG00000151694.11	ADAM17	chr2	9488486	9555792	protein_coding
ENSG00000168619.14	ADAM18	chr8	39584489	39730064	protein_coding
ENSG00000135074.14	ADAM19	chr5	157395534	157575775	protein_coding
ENSG00000104755.13	ADAM2	chr8	39743735	39838289	protein_coding
ENSG00000134007.3	ADAM20	chr14	70522358	70535015	protein_coding
ENSG00000139985.6	ADAM21	chr14	70452157	70459899	protein_coding
ENSG00000008277.13	ADAM22	chr7	87934143	88202889	protein_coding
ENSG00000114948.11	ADAM23	chr2	206443539	206621130	protein_coding
ENSG00000042980.11	ADAM28	chr8	24294040	24359018	protein_coding
ENSG00000168594.14	ADAM29	chr4	174829668	174978180	protein_coding
ENSG00000134249.6	ADAM30	chr1	119893533	119896495	protein_coding
ENSG00000197140.13	ADAM32	chr8	39106990	39284911	protein_coding
ENSG00000149451.16	ADAM33	chr20	3667965	3682246	protein_coding
ENSG00000069206.14	ADAM7	chr8	24440930	24526970	protein_coding
ENSG00000151651.14	ADAM8	chr10	133262403	133276868	protein_coding
ENSG00000168615.10	ADAM9	chr8	38996869	39105144	protein_coding
ENSG00000134028.13	ADAMDEC1	chr8	24384285	24406013	protein_coding
ENSG00000154734.13	ADAMTS1	chr21	26835747	26845409	protein_coding
ENSG00000142303.12	ADAMTS10	chr19	8580242	8610735	protein_coding
ENSG00000151388.9	ADAMTS12	chr5	33523535	33892192	protein_coding
ENSG00000160323.17	ADAMTS13	chr9	133414358	133459402	protein_coding
ENSG00000138316.9	ADAMTS14	chr10	70672803	70762441	protein_coding
ENSG00000166106.3	ADAMTS15	chr11	130448974	130476641	protein_coding
ENSG00000145536.14	ADAMTS16	chr5	5140330	5320304	protein_coding
ENSG00000140470.12	ADAMTS17	chr15	99971589	100342005	protein_coding
ENSG00000140873.14	ADAMTS18	chr16	77247813	77435114	protein_coding
ENSG00000145808.7	ADAMTS19	chr5	129460265	129738683	protein_coding
ENSG00000087116.12	ADAMTS2	chr5	179110851	179345430	protein_coding
ENSG00000173157.15	ADAMTS20	chr12	43353866	43551921	protein_coding
ENSG00000156140.7	ADAMTS3	chr4	72280969	72568799	protein_coding
ENSG00000158859.9	ADAMTS4	chr1	161184308	161199056	protein_coding
ENSG00000154736.5	ADAMTS5	chr21	26917912	26966513	protein_coding
ENSG00000049192.13	ADAMTS6	chr5	65148736	65481920	protein_coding
ENSG00000136378.13	ADAMTS7	chr15	78759203	78811431	protein_coding
ENSG00000134917.9	ADAMTS8	chr11	130404925	130428993	protein_coding
ENSG00000163638.12	ADAMTS9	chr3	64515654	64688000	protein_coding
ENSG00000178031.14	ADAMTSL1	chr9	18473894	18910950	protein_coding
ENSG00000197859.8	ADAMTSL2	chr9	133532164	133575519	protein_coding
ENSG00000156218.11	ADAMTSL3	chr15	83654086	84039842	protein_coding
ENSG00000143382.12	ADAMTSL4	chr1	150549369	150560937	protein_coding
ENSG00000185761.9	ADAMTSL5	chr19	1505018	1513604	protein_coding
ENSG00000105963.12	ADAP1	chr7	897901	955407	protein_coding
ENSG00000184060.9	ADAP2	chr17	30906344	30959322	protein_coding
ENSG00000160710.14	ADAR	chr1	154582062	154627999	protein_coding
ENSG00000197381.14	ADARB1	chr21	45073853	45226560	protein_coding
ENSG00000185736.14	ADARB2	chr10	1177318	1737476	protein_coding
ENSG00000065457.9	ADAT1	chr16	75596981	75623300	protein_coding
ENSG00000189007.14	ADAT2	chr6	143422832	143450673	protein_coding
ENSG00000063761.14	ADCK1	chr14	77800083	77935012	protein_coding
ENSG00000133597.8	ADCK2	chr7	140673153	140696261	protein_coding
ENSG00000163050.15	ADCK3	chr1	226897536	226987545	protein_coding
ENSG00000123815.10	ADCK4	chr19	40691529	40718207	protein_coding
ENSG00000173137.10	ADCK5	chr8	144373101	144393242	protein_coding
ENSG00000164742.13	ADCY1	chr7	45574140	45723116	protein_coding
ENSG00000143199.16	ADCY10	chr1	167809388	167914215	protein_coding
ENSG00000078295.14	ADCY2	chr5	7396208	7830081	protein_coding
ENSG00000138031.13	ADCY3	chr2	24819169	24919839	protein_coding
ENSG00000129467.12	ADCY4	chr14	24318349	24335093	protein_coding
ENSG00000173175.13	ADCY5	chr3	123282296	123449758	protein_coding
ENSG00000174233.10	ADCY6	chr12	48766194	48789037	protein_coding
ENSG00000121281.11	ADCY7	chr16	50246137	50318135	protein_coding
ENSG00000155897.8	ADCY8	chr8	130780301	131042426	protein_coding
ENSG00000162104.8	ADCY9	chr16	3953387	4116185	protein_coding
ENSG00000141433.11	ADCYAP1	chr18	904943	912172	protein_coding
ENSG00000078549.13	ADCYAP1R1	chr7	31052461	31111479	protein_coding
ENSG00000087274.15	ADD1	chr4	2843857	2930076	protein_coding
ENSG00000075340.21	ADD2	chr2	70607618	70768225	protein_coding
ENSG00000148700.12	ADD3	chr10	109996368	110135565	protein_coding
ENSG00000118492.15	ADGB	chr6	146598965	146815462	protein_coding
ENSG00000187758.6	ADH1A	chr4	99276367	99291028	protein_coding
ENSG00000196616.11	ADH1B	chr4	99304964	99321442	protein_coding
ENSG00000248144.4	ADH1C	chr4	99336492	99353027	protein_coding
ENSG00000198099.7	ADH4	chr4	99123657	99157792	protein_coding
ENSG00000197894.9	ADH5	chr4	99070978	99088801	protein_coding
ENSG00000172955.16	ADH6	chr4	99202638	99219537	protein_coding
ENSG00000196344.10	ADH7	chr4	99412261	99435737	protein_coding
ENSG00000147576.14	ADHFE1	chr8	66430185	66471601	protein_coding
ENSG00000182551.12	ADI1	chr2	3497361	3519736	protein_coding
ENSG00000182035.10	ADIG	chr20	38581195	38588463	protein_coding
ENSG00000181092.8	ADIPOQ	chr3	186842690	186858463	protein_coding
ENSG00000159346.11	ADIPOR1	chr1	202940823	202958572	protein_coding
ENSG00000006831.9	ADIPOR2	chr12	1688574	1788678	protein_coding
ENSG00000148671.12	ADIRF	chr10	86968192	86983934	protein_coding
ENSG00000156110.12	ADK	chr10	74151185	74709303	protein_coding
ENSG00000148926.8	ADM	chr11	10304680	10307397	protein_coding
ENSG00000128165.8	ADM2	chr22	50481556	50486440	protein_coding
ENSG00000224420.3	ADM5	chr19	49688664	49690575	protein_coding
ENSG00000101126.14	ADNP	chr20	50888919	50931240	protein_coding
ENSG00000101544.7	ADNP2	chr18	80109031	80147523	protein_coding
ENSG00000181915.4	ADO	chr10	62804857	62808483	protein_coding
ENSG00000163485.14	ADORA1	chr1	203090654	203167405	protein_coding
ENSG00000128271.18	ADORA2A	chr22	24417879	24442360	protein_coding
ENSG00000170425.3	ADORA2B	chr17	15944917	15975746	protein_coding
ENSG00000121933.16	ADORA3	chr1	111483348	111563962	protein_coding
ENSG00000159322.16	ADPGK	chr15	72751369	72785846	protein_coding
ENSG00000144843.10	ADPRH	chr3	119579268	119589945	protein_coding
ENSG00000153531.11	ADPRHL1	chr13	113421940	113453524	protein_coding
ENSG00000116863.10	ADPRHL2	chr1	36088875	36093932	protein_coding
ENSG00000170222.11	ADPRM	chr17	10697594	10711233	protein_coding
ENSG00000120907.16	ADRA1A	chr8	26748150	26867273	protein_coding
ENSG00000170214.3	ADRA1B	chr5	159916783	159972544	protein_coding
ENSG00000171873.7	ADRA1D	chr20	4220631	4249074	protein_coding
ENSG00000150594.6	ADRA2A	chr10	111077163	111080907	protein_coding
ENSG00000274286.1	ADRA2B	chr2	96112875	96116245	protein_coding
ENSG00000184160.7	ADRA2C	chr4	3766348	3768526	protein_coding
ENSG00000043591.5	ADRB1	chr10	114044056	114046908	protein_coding
ENSG00000169252.5	ADRB2	chr5	148825245	148828687	protein_coding
ENSG00000188778.4	ADRB3	chr8	37962991	37966965	protein_coding
